"","nflId","height","weight","birthDate","collegeName","officialPosition","displayName","side_of_the_ball","elo","name","snaps"
"1",29550,"6-4",328,"1982-01-22","Arkansas","T","Jason Peters","Blocker",1049,"Jason Peters",224
"2",30869,"6-7",330,"1981-12-12","Louisiana State","T","Andrew Whitworth","Blocker",1045,"Andrew Whitworth",217
"3",33107,"6-4",315,"1985-08-30","Virginia Tech","T","Duane Brown","Blocker",1013,"Duane Brown",233
"4",33131,"6-8",300,"1986-09-01","Miami","DE","Calais Campbell","Rusher",1043,"Calais Campbell",193
"5",34457,"6-4",330,"1987-01-25","Alabama","T","Andre Smith","Blocker",1026,"Andre Smith",19
"6",34472,"6-4",311,"1985-11-19","California","C","Alex Mack","Blocker",1052,"Alex Mack",218
"7",34777,"6-3",310,"1986-01-03","Troy","NT","Steve McLendon","Rusher",979,"Steve McLendon",54
"8",35441,"6-4",313,"1987-01-06","Nebraska","DE","Ndamukong Suh","Rusher",924,"Ndamukong Suh",217
"9",35442,"6-4",300,"1988-02-25","Oklahoma","DT","Gerald McCoy","Rusher",995,"Gerald McCoy",5
"10",35443,"6-5",320,"1988-07-19","Oklahoma","T","Trent Williams","Blocker",1059,"Trent Williams",175
"11",35449,"6-3",304,"1987-05-12","California","DE","Tyson Alualu","Rusher",980,"Tyson Alualu",36
"12",35452,"6-2",265,"1988-04-03","Michigan","DE","Brandon Graham","Rusher",1006,"Brandon Graham",29
"13",35454,"6-5",275,"1989-01-01","South Florida","DE","Jason Pierre-Paul","Rusher",955,"Jason Pierre-Paul",209
"14",35462,"6-5",314,"1989-03-21","Iowa","T","Bryan Bulaga","Blocker",981,"Bryan Bulaga",27
"15",35470,"6-2",254,"1988-08-13","Texas Christian","DE","Jerry Hughes","Rusher",1024,"Jerry Hughes",141
"16",35472,"6-5",325,"1988-06-06","Indiana","G","Rodger Saffold","Blocker",1001,"Rodger Saffold",208
"17",35485,"6-4",329,"1988-10-10","East Carolina","NT","Linval Joseph","Rusher",1120,"Linval Joseph",117
"18",35493,"6-6",285,"1989-02-28","Florida","OLB","Carlos Dunlap","Rusher",960,"Carlos Dunlap",170
"19",35522,"6-3",335,"1988-06-08","Kentucky","DT","Corey Peters","Rusher",1001,"Corey Peters",39
"20",35539,"6-3",273,"1987-12-22","Southern California","DE","Everson Griffen","Rusher",1150,"Everson Griffen",173
"21",35562,"6-4",330,"1987-03-25","Louisiana State","DT","Al Woods","Rusher",1016,"Al Woods",130
"22",36785,"6-8",330,"1985-10-27","Texas State","T","Ty Nsekhe","Blocker",969,"Ty Nsekhe",38
"23",37075,"6-3",250,"1989-03-26","Texas A&amp;M","OLB","Von Miller","Rusher",997,"Von Miller",174
"24",37082,"6-5",320,"1990-12-12","Southern California","T","Tyron Smith","Blocker",1088,"Tyron Smith",223
"25",37084,"6-5",288,"1989-03-22","Wisconsin","DE","J.J. Watt","Rusher",995,"J.J. Watt",192
"26",37087,"6-4",257,"1990-05-18","North Carolina","OLB","Robert Quinn","Rusher",1009,"Robert Quinn",164
"27",37089,"6-4",265,"1988-08-16","Purdue","DE","Ryan Kerrigan","Rusher",1001,"Ryan Kerrigan",90
"28",37090,"6-8",325,"1988-04-12","Colorado","T","Nate Solder","Blocker",960,"Nate Solder",279
"29",37097,"6-4",287,"1989-07-10","California","DE","Cameron Jordan","Rusher",1043,"Cameron Jordan",227
"30",37104,"6-5",295,"1989-05-06","Ohio State","DT","Cameron Heyward","Rusher",1038,"Cameron Heyward",199
